Date,Turnover_NSW,Turnover_VIC,Turnover_QLD,Turnover_SA,Turnover_WA,Turnover_TAS,Turnover_NT,Turnover_ACT,Total,Quarter
1982-04-01,1250.2,916.2,486.3,279.4,298.3,79.9,0.0,57.1,3396.4,1982Q2
1982-05-01,1300.0,931.2,492.8,288.0,318.5,78.9,0.0,57.3,3497.9,1982Q2
1982-06-01,1234.2,887.0,494.1,277.2,301.5,77.5,0.0,55.3,3357.8,1982Q2
1982-07-01,1265.0,921.3,515.6,296.1,316.4,82.7,0.0,56.3,3486.8,1982Q3
1982-08-01,1217.6,883.2,501.4,288.4,300.5,78.1,0.0,55.4,3355.9,1982Q3
1982-09-01,1244.9,917.9,517.7,293.0,312.3,79.1,0.0,57.5,3454.3,1982Q3
1982-10-01,1264.2,983.3,504.2,307.9,318.7,78.7,0.0,61.9,3551.5,1982Q4
1982-11-01,1372.6,1065.2,536.0,332.1,337.9,86.5,0.0,68.3,3830.5,1982Q4
1982-12-01,1888.3,1427.3,715.9,440.9,457.4,118.6,0.0,92.2,5179.7,1982Q4
1983-01-01,1214.5,920.3,502.4,295.9,295.4,75.2,0.0,53.0,3384.5,1983Q1
1983-02-01,1240.6,921.7,470.0,284.1,292.6,76.5,0.0,55.1,3369.8,1983Q1
1983-03-01,1375.7,1049.2,535.7,340.5,319.6,89.1,0.0,63.1,3805.3,1983Q1
1983-04-01,1344.2,994.9,509.0,326.0,313.0,83.5,0.0,63.3,3665.1,1983Q2
1983-05-01,1379.9,990.4,527.5,341.1,336.8,85.1,0.0,65.6,3760.0,1983Q2
1983-06-01,1325.8,950.0,524.2,335.0,316.9,83.0,0.0,62.3,3630.8,1983Q2
1983-07-01,1328.1,971.0,534.8,342.3,326.5,83.9,0.0,64.5,3686.5,1983Q3
1983-08-01,1366.3,1015.5,551.0,356.4,340.9,88.1,0.0,62.5,3816.3,1983Q3
1983-09-01,1370.8,1019.2,553.9,349.7,342.3,88.0,0.0,64.1,3823.4,1983Q3
1983-10-01,1412.3,1053.0,545.1,332.8,340.5,88.7,0.0,71.4,3878.7,1983Q4
1983-11-01,1541.6,1136.8,593.3,363.9,365.3,97.7,0.0,78.0,4211.5,1983Q4
1983-12-01,2119.6,1543.3,772.2,480.0,485.3,133.5,0.0,107.7,5684.3,1983Q4
1984-01-01,1299.1,1020.7,548.9,320.5,333.7,85.8,0.0,59.4,3698.5,1984Q1
1984-02-01,1348.1,1024.5,513.7,320.2,341.7,89.1,0.0,63.7,3733.2,1984Q1
1984-03-01,1433.6,1117.4,555.7,346.8,358.4,94.4,0.0,70.5,4010.9,1984Q1
1984-04-01,1352.8,1049.3,532.2,325.6,337.7,89.0,0.0,69.1,3788.4,1984Q2
1984-05-01,1519.4,1156.7,593.6,367.9,390.5,102.3,0.0,73.9,4242.3,1984Q2
1984-06-01,1376.9,1047.0,560.7,339.7,346.6,96.2,0.0,69.2,3872.1,1984Q2
1984-07-01,1421.9,1048.3,592.4,346.9,364.5,95.7,0.0,70.5,3978.0,1984Q3
1984-08-01,1462.9,1077.2,620.3,351.0,377.0,97.8,0.0,71.7,4096.1,1984Q3
1984-09-01,1397.5,1017.4,591.7,334.2,363.2,91.9,0.0,69.5,3901.4,1984Q3
1984-10-01,1536.0,1126.6,627.8,369.2,396.7,103.2,0.0,76.2,4274.0,1984Q4
1984-11-01,1640.7,1219.2,658.8,394.2,416.8,109.2,0.0,80.7,4557.1,1984Q4
1984-12-01,2174.7,1532.3,833.8,480.3,540.2,142.9,0.0,99.4,5847.5,1984Q4
1985-01-01,1471.3,1087.6,627.2,357.9,381.1,101.9,0.0,68.8,4130.0,1985Q1
1985-02-01,1366.3,1055.7,548.7,332.9,358.2,96.2,0.0,65.6,3856.8,1985Q1
1985-03-01,1488.3,1130.5,616.0,366.1,386.7,102.1,0.0,71.2,4196.9,1985Q1
1985-04-01,1521.9,1131.4,606.4,366.7,383.4,104.6,0.0,78.6,4228.9,1985Q2
1985-05-01,1716.5,1259.2,675.3,408.4,438.3,114.7,0.0,85.1,4739.1,1985Q2
1985-06-01,1507.1,1102.2,613.8,368.5,381.6,102.3,0.0,76.2,4190.3,1985Q2
1985-07-01,1679.4,1151.6,649.7,380.9,417.9,107.0,0.0,85.5,4514.6,1985Q3
1985-08-01,1637.4,1203.0,672.4,391.8,429.1,107.8,0.0,82.7,4566.3,1985Q3
1985-09-01,1577.6,1139.5,652.5,376.5,409.3,102.9,0.0,81.9,4380.3,1985Q3
1985-10-01,1764.1,1293.8,709.8,411.4,437.4,113.6,0.0,84.8,4857.7,1985Q4
1985-11-01,1900.0,1344.1,726.7,429.9,454.1,120.0,0.0,88.8,5105.0,1985Q4
1985-12-01,2509.5,1730.4,933.2,549.2,585.6,157.6,0.0,113.5,6628.2,1985Q4
1986-01-01,1684.3,1223.7,722.2,385.0,434.1,105.6,0.0,81.6,4674.9,1986Q1
1986-02-01,1516.2,1161.9,639.3,360.2,405.5,102.1,0.0,71.9,4294.1,1986Q1
1986-03-01,1611.5,1213.7,672.1,377.7,425.8,105.3,0.0,82.6,4528.0,1986Q1
1986-04-01,1681.0,1298.2,684.1,405.7,431.1,107.2,0.0,81.9,4729.0,1986Q2
1986-05-01,1898.1,1429.5,753.3,448.7,473.9,118.5,0.0,92.8,5261.9,1986Q2
1986-06-01,1664.2,1240.8,693.7,388.1,423.0,104.1,0.0,81.1,4637.8,1986Q2
1986-07-01,1814.5,1344.3,717.8,410.1,447.9,113.9,0.0,94.3,4989.5,1986Q3
