Quarter,Pop_m_Total,Pop_fe_Total,Pop_tot_Total
1981Q2,7448267,7474993,14923260
1981Q3,7482121,7506556,14988677
1981Q4,7514339,7539778,15054117
1982Q1,7549266,7572432,15121698
1982Q2,7580914,7603333,15184247
1982Q3,7608848,7630430,15239278
1982Q4,7633179,7655712,15288891
1983Q1,7662874,7683368,15346242
1983Q2,7686346,7707126,15393472
1983Q3,7708965,7730040,15439005
1983Q4,7730415,7753081,15483496
1984Q1,7754703,7776838,15531541
1984Q2,7778212,7801179,15579391
1984Q3,7802620,7825928,15628548
1984Q4,7826368,7850914,15677282
1985Q1,7856538,7880127,15736665
1985Q2,7882728,7905584,15788312
1985Q3,7908966,7930736,15839702
1985Q4,7940033,7960533,15900566
1986Q1,7971121,7990377,15961498
1986Q2,8000187,8018163,16018350
1986Q3,8027277,8047764,16075041
1986Q4,8057320,8081449,16138769
1987Q1,8089387,8114654,16204041
1987Q2,8118255,8145619,16263874
1987Q3,8150109,8178757,16328866
1987Q4,8181746,8212895,16394641
1988Q1,8219733,8252034,16471767
1988Q2,8248945,8283219,16532164
1988Q3,8289036,8323603,16612639
1988Q4,8325068,8362014,16687082
1989Q1,8363362,8400680,16764042
1989Q2,8387589,8426827,16814416
1989Q3,8415598,8456440,16872038
1989Q4,8446656,8490067,16936723
1990Q1,8481485,8524151,17005636
1990Q2,8511269,8553859,17065128
1990Q3,8538058,8583074,17121132
1990Q4,8560533,8609235,17169768
1991Q1,8593594,8643830,17237424
1991Q2,8615409,8668627,17284036
1991Q3,8641475,8697384,17338859
1991Q4,8659623,8719358,17378981
1992Q1,8690545,8750742,17441287
1992Q2,8708256,8770379,17478635
1992Q3,8729663,8793640,17523303
1992Q4,8744793,8812340,17557133
1993Q1,8770380,8839172,17609552
1993Q2,8781980,8852828,17634808
1993Q3,8805511,8878202,17683713
1993Q4,8821492,8897598,17719090
1994Q1,8847706,8924372,17772078
1994Q2,8863677,8941791,17805468
1994Q3,8890134,8969123,17859257
1994Q4,8906001,8987432,17893433
1995Q1,8934560,9016990,17951550
1995Q2,8960430,9044452,18004882
1995Q3,8988201,9073975,18062176
1995Q4,9014765,9104851,18119616
1996Q1,9041977,9134009,18175986
1996Q2,9065324,9159443,18224767
1996Q3,9091206,9190117,18281323
1996Q4,9112568,9217511,18330079
1997Q1,9140391,9248319,18388710
1997Q2,9156177,9266860,18423037
1997Q3,9178010,9290708,18468718
1997Q4,9195994,9314010,18510004
1998Q1,9227031,9345385,18572416
1998Q2,9243143,9364441,18607584
1998Q3,9267185,9391196,18658381
1998Q4,9288411,9417209,18705620
1999Q1,9320432,9450093,18770525
1999Q2,9340109,9472155,18812264
1999Q3,9366422,9501258,18867680
1999Q4,9390061,9529149,18919210
2000Q1,9423409,9563302,18986711
2000Q2,9443465,9585337,19028802
2000Q3,9471495,9614545,19086040
2000Q4,9496927,9644109,19141036
2001Q1,9538413,9686768,19225181
2001Q2,9561826,9712875,19274701
2001Q3,9589747,9739360,19329107
2001Q4,9618412,9768049,19386461
2002Q1,9653860,9799490,19453350
2002Q2,9675483,9819727,19495210
2002Q3,9702034,9846837,19548871
2002Q4,9729203,9876238,19605441
2003Q1,9765798,9910830,19676628
2003Q2,9787597,9933140,19720737
2003Q3,9815530,9957899,19773429
2003Q4,9842057,9985098,19827155
2004Q1,9876726,10017379,19894105
2004Q2,9895951,10036771,19932722
2004Q3,9925307,10064370,19989677
2004Q4,9952665,10093338,20046003
2005Q1,9993953,10132600,20126553
2005Q2,10019633,10157211,20176844
2005Q3,10054217,10190510,20244727
2005Q4,10087382,10224161,20311543
2006Q1,10132982,10265150,20398132
2006Q2,10159424,10291542,20450966
2006Q3,10206440,10335842,20542282
2006Q4,10248923,10378624,20627547
2007Q1,10308891,10433926,20742817
2007Q2,10353636,10473986,20827622
2007Q3,10403419,10520741,20924160
2007Q4,10449776,10566345,21016121
2008Q1,10519220,10629708,21148928
2008Q2,10572045,10677154,21249199
2008Q3,10633527,10732522,21366049
2008Q4,10689738,10785887,21475625
2009Q1,10754502,10847174,21601676
2009Q2,10800797,10890856,21691653
2009Q3,10848831,10939257,21788088
2009Q4,10886022,10979601,21865623
2010Q1,10934255,11029842,21964097
2010Q2,10967831,11063919,22031750
2010Q3,11002611,11101791,22104402
2010Q4,11034979,11137490,22172469
2011Q1,11082660,11186098,22268758
2011Q2,11118234,11221790,22340024
2011Q3,11163254,11269517,22432771
2011Q4,11206252,11315945,22522197
2012Q1,11266225,11374718,22640943
2012Q2,11312979,11420486,22733465
2012Q3,11363209,11470713,22833922
2012Q4,11408788,11519235,22928023
2013Q1,11465410,11577594,23043004
2013Q2,11506165,11621964,23128129
2013Q3,11548444,11671787,23220231
2013Q4,11582448,11715329,23297777
2014Q1,11635296,11770897,23406193
2014Q2,11667886,11807800,23475686
2014Q3,11708657,11854244,23562901
2014Q4,11744498,11895833,23640331
2015Q1,11795103,11950526,23745629
2015Q2,11827652,11988343,23815995
2015Q3,11868463,12035808,23904271
2015Q4,11904308,12080273,23984581
2016Q1,11961987,12141438,24103425
2016Q2,12003039,12187868,24190907
2016Q3,12054994,12244859,24299853
2016Q4,12098224,12291460,24389684
2017Q1,12162510,12355845,24518355
2017Q2,12203770,12398090,24601860
2017Q3,12251305,12450577,24701882
2017Q4,12285452,12487898,24773350
2018Q1,12348522,12550109,24898631
2018Q2,12391042,12591646,24982688
2018Q3,12443887,12645813,25089700
2018Q4,12482498,12688793,25171291
2019Q1,12543778,12749189,25292967
2019Q2,12579377,12786368,25365745
2019Q3,12630001,12842527,25472528
2019Q4,12670368,12889448,25559816
2020Q1,12723031,12946109,25669140
2020Q2,12737005,12960293,25697298
2020Q3,12734346,12958713,25693059
